date,Cases,Death_Cases,Recovered_Cases,Confirmed,Deaths,Recovered,Country
2020-03-15,1,0.0,0.0,1,0.0,0.0,Uzbekistan
2020-03-16,5,0.0,0.0,6,0.0,0.0,Uzbekistan
2020-03-17,4,0.0,0.0,10,0.0,0.0,Uzbekistan
2020-03-18,5,0.0,0.0,15,0.0,0.0,Uzbekistan
2020-03-19,8,0.0,0.0,23,0.0,0.0,Uzbekistan
2020-03-20,10,0.0,0.0,33,0.0,0.0,Uzbekistan
2020-03-21,10,0.0,0.0,43,0.0,0.0,Uzbekistan
2020-03-22,0,0.0,0.0,43,0.0,0.0,Uzbekistan
2020-03-23,3,0.0,0.0,46,0.0,0.0,Uzbekistan
2020-03-24,4,0.0,0.0,50,0.0,0.0,Uzbekistan
2020-03-25,10,0.0,0.0,60,0.0,0.0,Uzbekistan
2020-03-26,15,0.0,0.0,75,0.0,0.0,Uzbekistan
2020-03-27,13,1.0,5.0,88,1.0,5.0,Uzbekistan
2020-03-28,16,1.0,0.0,104,2.0,5.0,Uzbekistan
2020-03-29,40,0.0,2.0,144,2.0,7.0,Uzbekistan
2020-03-30,5,0.0,0.0,149,2.0,7.0,Uzbekistan
2020-03-31,23,0.0,0.0,172,2.0,7.0,Uzbekistan
2020-04-01,9,0.0,5.0,181,2.0,12.0,Uzbekistan
2020-04-02,24,0.0,13.0,205,2.0,25.0,Uzbekistan
2020-04-03,22,0.0,0.0,227,2.0,25.0,Uzbekistan
2020-04-04,39,0.0,0.0,266,2.0,25.0,Uzbekistan
2020-04-05,76,0.0,5.0,342,2.0,30.0,Uzbekistan
2020-04-06,115,0.0,0.0,457,2.0,30.0,Uzbekistan
2020-04-07,63,0.0,0.0,520,2.0,30.0,Uzbekistan
2020-04-08,25,1.0,0.0,545,3.0,30.0,Uzbekistan
2020-04-09,37,0.0,8.0,582,3.0,38.0,Uzbekistan
2020-04-10,42,0.0,4.0,624,3.0,42.0,Uzbekistan
2020-04-11,143,1.0,0.0,767,4.0,42.0,Uzbekistan
2020-04-12,98,0.0,24.0,865,4.0,66.0,Uzbekistan
2020-04-13,133,0.0,19.0,998,4.0,85.0,Uzbekistan
2020-04-14,167,0.0,14.0,1165,4.0,99.0,Uzbekistan
2020-04-15,137,0.0,8.0,1302,4.0,107.0,Uzbekistan
2020-04-16,47,0.0,22.0,1349,4.0,129.0,Uzbekistan
2020-04-17,56,0.0,27.0,1405,4.0,156.0,Uzbekistan
2020-04-18,85,1.0,38.0,1490,5.0,194.0,Uzbekistan
2020-04-19,75,0.0,31.0,1565,5.0,225.0,Uzbekistan
2020-04-20,62,0.0,36.0,1627,5.0,261.0,Uzbekistan
2020-04-21,51,1.0,96.0,1678,6.0,357.0,Uzbekistan
2020-04-22,38,1.0,93.0,1716,7.0,450.0,Uzbekistan
2020-04-23,42,0.0,111.0,1758,7.0,561.0,Uzbekistan
2020-04-24,46,1.0,60.0,1804,8.0,621.0,Uzbekistan
2020-04-25,58,0.0,86.0,1862,8.0,707.0,Uzbekistan
2020-04-26,7,0.0,82.0,1869,8.0,789.0,Uzbekistan
2020-04-27,35,0.0,103.0,1904,8.0,892.0,Uzbekistan
2020-04-28,35,0.0,100.0,1939,8.0,992.0,Uzbekistan
2020-04-29,63,1.0,104.0,2002,9.0,1096.0,Uzbekistan
2020-04-30,37,0.0,37.0,2039,9.0,1133.0,Uzbekistan
2020-05-01,47,0.0,79.0,2086,9.0,1212.0,Uzbekistan
2020-05-02,32,0.0,59.0,2118,9.0,1271.0,Uzbekistan
2020-05-03,31,1.0,48.0,2149,10.0,1319.0,Uzbekistan
2020-05-04,40,0.0,86.0,2189,10.0,1405.0,Uzbekistan
2020-05-05,18,0.0,96.0,2207,10.0,1501.0,Uzbekistan
2020-05-06,26,0.0,76.0,2233,10.0,1577.0,Uzbekistan
2020-05-07,65,0.0,79.0,2298,10.0,1656.0,Uzbekistan
2020-05-08,27,0.0,119.0,2325,10.0,1775.0,Uzbekistan
2020-05-09,24,0.0,71.0,2349,10.0,1846.0,Uzbekistan
2020-05-10,69,0.0,35.0,2418,10.0,1881.0,Uzbekistan
2020-05-11,68,0.0,107.0,2486,10.0,1988.0,Uzbekistan
2020-05-12,33,0.0,22.0,2519,10.0,2010.0,Uzbekistan
2020-05-13,93,1.0,66.0,2612,11.0,2076.0,Uzbekistan
2020-05-14,33,0.0,60.0,2645,11.0,2136.0,Uzbekistan
2020-05-15,41,0.0,22.0,2686,11.0,2158.0,Uzbekistan
2020-05-16,52,0.0,55.0,2738,11.0,2213.0,Uzbekistan
2020-05-17,15,1.0,34.0,2753,12.0,2247.0,Uzbekistan
2020-05-18,38,1.0,67.0,2791,13.0,2314.0,Uzbekistan
2020-05-19,64,0.0,24.0,2855,13.0,2338.0,Uzbekistan
2020-05-20,84,0.0,34.0,2939,13.0,2372.0,Uzbekistan
2020-05-21,25,0.0,35.0,2964,13.0,2407.0,Uzbekistan
2020-05-22,64,0.0,85.0,3028,13.0,2492.0,Uzbekistan
2020-05-23,87,0.0,40.0,3115,13.0,2532.0,Uzbekistan
2020-05-24,49,0.0,33.0,3164,13.0,2565.0,Uzbekistan
2020-05-25,25,0.0,42.0,3189,13.0,2607.0,Uzbekistan
2020-05-26,101,1.0,29.0,3290,14.0,2636.0,Uzbekistan
2020-05-27,79,0.0,32.0,3369,14.0,2668.0,Uzbekistan
2020-05-28,75,0.0,26.0,3444,14.0,2694.0,Uzbekistan
2020-05-29,24,0.0,34.0,3468,14.0,2728.0,Uzbekistan
2020-05-30,78,0.0,55.0,3546,14.0,2783.0,Uzbekistan
2020-05-31,77,1.0,54.0,3623,15.0,2837.0,Uzbekistan
2020-06-01,79,0.0,22.0,3702,15.0,2859.0,Uzbekistan
2020-06-02,58,0.0,49.0,3760,15.0,2908.0,Uzbekistan
2020-06-03,83,1.0,106.0,3843,16.0,3014.0,Uzbekistan
2020-06-04,96,0.0,73.0,3939,16.0,3087.0,Uzbekistan
